normalized_form	reading	senses
高める	タカメル	to raise; to lift; to boost; to enhance
高級	コウキュウ	high-class; high-grade; high-quality; high-end; luxury|high-ranking; high-level; senior
高まる	タカマル	to rise; to swell; to intensify; to increase; to grow stronger; to get higher
高潔	コウケツ	noble; lofty; high-minded; virtuous; upright
高山	タカヤマ	high mountain; alpine mountain
高尚	コウショウ	high; noble; refined; advanced
高層	コウソウ	high-rise (building); multistory; multistoried; tall|high (altitude); upper (atmosphere, air current, etc.)
高卒	コウソツ	having graduated from high school (as one's highest completed level of education); high school graduate
高台	タカダイ	high ground; elevation; hill; plateau
高水準	コウスイジュン	high level
高性能	コウセイノウ	high efficiency; high performance
高僧	コウソウ	high priest; highly ranked priest|virtuous priest; priest of great sanctity and learning
高地	コウチ	high ground; plateau; heights; highlands
高値	タカネ	high price
高速	コウソク	high-speed; rapid; express|highway; freeway; expressway; motorway
高速道路	コウソクドウロ	highway; freeway; expressway; motorway
高等	コウトウ	high class; high grade
高度	コウド	altitude; height; elevation|high-degree; high-grade; advanced; sophisticated; strong
剛健	ゴウケン	vigour; vigor; virility; health; sturdiness
高騰	コウトウ	sharp rise (in prices); steep rise; substantial increase; soaring
高峰	タカミネ	high mountain; lofty peak
高低	コウテイ	high and low; rise and fall
高波	タカナミ	high waves; heavy seas
高揚	コウヨウ	elevation (of spirits); raising (of morale); uplift; upsurge
高齢	コウレイ	advanced age; old age
高等学校	コウトウガッコウ	senior high school; high school
号	ゴウ	number; edition; make; model; issue; part of that group|sobriquet; pen-name|size (of printing types, canvases, knitting needles, etc.)|suffix attached to names of ships, trains, airplanes, etc.
高熱	コウネツ	high fever|intense heat
高品質	コウヒンシツ	high quality
号外	ゴウガイ	newspaper extra
合わす	アワス	to match (rhythm, speed, etc.)|to join together; to unite; to combine; to add up|to face; to be opposite (someone)|to compare; to check with|to cause to meet (e.g. an unpleasant fate)
号泣	ゴウキュウ	crying loudly; bawling; wailing; lamentation|crying one's eyes out (without making noise); breaking into a flood of tears; crying buckets; weeping
合意	ゴウイ	(coming to an) agreement; consent; mutual understanding; accord; consensus
号令	ゴウレイ	order (esp. to a number of people); command|ritual of bowing at start and end of school class
合羽	カッパ	raincoat
合格	ゴウカク	passing (an exam); pass; success; passing grade|meeting (specifications, standards, etc.); passing (inspection); qualification; being found eligible
合わせる	アワセル	to match (rhythm, speed, etc.)|to join together; to unite; to combine; to add up|to face; to be opposite (someone)|to compare; to check with|to cause to meet (e.g. an unpleasant fate)
合う	アウ	to come together; to merge; to unite; to meet|to fit; to match; to suit; to agree with; to be correct|to be profitable; to be equitable|to do ... to each other; to do ... together
合間	アイマ	interval; break; pause; spare moment|gap (between objects); interval; opening
合議	ゴウギ	consultation; conference; discussion; counsel
合作	ガッサク	collaboration; joint work
合憲	ゴウケン	constitutionality
合金	ゴウキン	alloy
合掌	ガッショウ	pressing one's hands together in prayer|triangular frame of a thatched roof|yours sincerely; yours truly; sincerely yours
合唱	ガッショウ	singing together; singing in union; chorus|ensemble singing; choral singing; chorus
合計	ゴウケイ	sum total; total amount
合宿	ガッシュク	lodging together; training camp; boarding house
合戦	カッセン	battle; fight; fighting; engagement; contest
合奏	ガッソウ	ensemble (e.g. orchestra, chamber group, etc.); concert
合成	ゴウセイ	composition; synthesis; compounding; combining|composite photo|(function) composition
合図	アイズ	sign; signal; cue
合法	ゴウホウ	legal; lawful; legitimate
合致	ガッチ	agreement; concurrence; conformance; compliance
合法的	ゴウホウテキ	legal; lawful; legitimate; law-abiding; in order
合理	ゴウリ	rationality
合併症	ガッペイショウ	complication
合唱団	ガッショウダン	chorus group; choir
合同	ゴウドウ	combination; union; joining; incorporation; amalgamation; merger; fusion|combined; joint; united; shared|congruence
麹	コウジ	kōji; malted rice; malt; malt-like material from growing mold on rice, barley, beans, etc. (used as a starter to make sake, miso, soy sauce, etc.)
合流	ゴウリュウ	confluence (of rivers); flowing together; joining|joining (of people, groups, parties, etc.); union; linking up; merging (e.g. of traffic); meeting (up)
豪雨	ゴウウ	torrential rain; heavy rain; cloudburst; downpour
合弁	ゴウベン	joint management; pool|gamopetalous; sympetalous
拷問	ゴウモン	torture
合理化	ゴウリカ	rationalization; making (something) conform to reason; justification|rationalization (of a company, industry, etc.); rationalisation; streamlining; making more efficient|rationalization
合理的	ゴウリテキ	rational; reasonable; logical
豪族	ゴウゾク	powerful family; powerful clan
刻	コク	period of time (usu. a period of approx. two hours corresponding to one of the signs of the Chinese zodiac)|carving; engraving; cutting; mincing|victory|strictness; cruelty
克服	コクフク	conquest (of a difficulty, illness, crisis, etc.); overcoming; surmounting; bringing under control
合力	ゴウリョク	resultant force|assistance; help|donation; alms; almsgiving
豪華	ゴウカ	extravagant; lavish; opulent; luxurious; magnificent; splendid; fancy; gorgeous
告訴	コクソ	accusation; complaint; charge; suit; legal action; legal proceedings
克明	コクメイ	detailed; scrupulous; careful; minute; faithful; elaborate|diligent; honest; upright; sincere
豪快	ゴウカイ	hearty; tremendous; magnificent; glorious; splendid; heroic; stirring
刻む	キザム	to mince; to cut fine; to chop up; to hash; to shred|to carve; to engrave; to chisel; to notch|to tick away (time); to beat out (e.g. rhythm); to record the passing moments|to etch (into one's mind); to remember distinctly|to have tattooed
刻み	キザミ	mincing; cutting; chopping; notch; nick|rapping (a percussion instrument); beating|shredded tobacco|interval
豪傑	ゴウケツ	hero; bold person; daring person; great person; extraordinary person
合否	ゴウヒ	success or failure; result
国家	コッカ	state; country; nation
告げる	ツゲル	to tell; to inform; to announce|to indicate; to signal; to mark
告示	コクジ	notice; bulletin
告白	コクハク	confession (to a crime, wrongdoing, etc.); admission|professing one's feelings (to someone one wants to go out with); declaration of love|profession (of faith)|confession (of sins)
国益	コクエキ	national interest
国営	コクエイ	government management; state management
告知	コクチ	notice; notification; announcement; disclosure; declaration
国旗	コッキ	national flag
国王	コクオウ	king; queen; monarch; sovereign|the Crown (as a focus of authority in the UK, etc.); the throne
告別	コクベツ	farewell; leave-taking
国交	コッコウ	diplomatic relations
国会	コッカイ	National Diet; legislative assembly of Japan (1947-)|Imperial Diet; legislative assembly of Japan (1889-1947)|legislative assembly; parliament; congress
国外	コクガイ	outside the country; abroad
国技	コクギ	national sport
国会議事堂	コッカイギジドウ	parliament building; parliament house; National Diet Building (Japan); (US) Capitol; Houses of Parliament; National Assembly building
国語	コクゴ	national language|Japanese language (esp. as a school subject in Japan)|one's native language; mother tongue|native Japanese words (as opposed to loanwords and Chinese-derived words)
国会議員	コッカイギイン	member of the Diet; Diet member; member of parliament; MP
国歌	コッカ	national anthem
国庫	コッコ	national treasury
国際的	コクサイテキ	international; worldwide; cross-border; cosmopolitan
国勢	コクセイ	state of a country (population, resources, etc.); condition of a country; strength of a country
国慶節	コッケイセツ	anniversary of founding (of PRC); national celebration time
国境	コッキョウ	border (between countries); national border
国産	コクサン	domestically produced; domestic; Japanese-made
国際化	コクサイカ	internationalization; internationalisation
国債	コクサイ	national debt; national securities; government bonds; government securities
国是	コクゼ	national policy
国税	コクゼイ	national tax
告発	コクハツ	indictment; prosecution; complaint
国際	コクサイ	international|diplomatic intercourse
国政	コクセイ	national politics; political situation; statecraft; body politic
国策	コクサク	national policy
国税庁	コクゼイチョウ	National Tax Agency (Japan)|national taxation agency (e.g. IRS)
国士	コクシ	distinguished citizen; patriot
国税局	コクゼイキョク	revenue office; taxation bureau
国籍	コクセキ	nationality; citizenship|nationality (ship, airplane, etc.); registration; flag
国土	コクド	country; territory; domain; realm
国際法	コクサイホウ	international law; law of nations
国道	コクドウ	national road; national highway
国内	コクナイ	within the country; inside the county; domestic; home; internal
国鉄	コクテツ	national railway|Japan National Railways (1949-1987)
国民	コクミン	people (of a country); nation; citizen; national|Democratic Party for the People
国防	コクボウ	national defence; national defense
国賓	コクヒン	state guest
国民総生産	コクミンソウセイサン	gross national product; GNP
国務	コクム	affairs of state
国民投票	コクミントウヒョウ	national referendum
国富	コクフ	national wealth
国名	コクメイ	country name
国宝	コクホウ	national treasure
穀物	コクモツ	grain; cereal; corn
国費	コクヒ	national expenditure; government spending; public funds
酷使	コクシ	exploitation; overuse; abuse
酷暑	コクショ	intense heat; severe heat
酷似	コクジ	resembling closely; being strikingly similar; bearing a strong likeness
国連	コクレン	United Nations; UN
国有	コクユウ	national ownership; state ownership; government ownership
酷評	コクヒョウ	severe criticism; sharp criticism; scathing criticism; diatribe; panning
黒	クロ	black|black stone|guilt; guilty person
穀倉	コクグラ	granary
黒鉛	コクエン	graphite
黒い	クロイ	black|dark; blackish; sun-tanned (skin)|suspicious; criminal; illicit|darkened and dirty; sooty; covered in dirt|evil; wicked; black-hearted
国立	コクリツ	national; founded and run by the central government
黒色	クロイロ	black (colour, color)
穀類	コクルイ	grains
黒海	コッカイ	Black Sea
黒板	コクバン	blackboard
黒潮	クロシオ	Kuroshio Current; Japan Current
黒子	ホクロ	mole; lentigo; beauty mark; beauty spot
黒星	クロボシ	black spot; black dot; bull's-eye|mark indicating a defeat|loss; failure; mistake; faux pas
腰掛ける	コシカケル	to sit (down)
黒字	クロジ	(being in) the black; surplus|black letter
骨	ホネ	bone|frame|outline; core|backbone; spirit; fortitude|laborious; troublesome; difficult
黒幕	クロマク	black curtain|wirepuller; mastermind; backroom manipulator; éminence grise; power broker
惚ける	ボケル	to grow senile; to be childish with age|to be mentally slow; to be befuddled|to play stupid; to say something stupid (oft. on purpose; esp. as part of a comedic routine)|to play dumb; to feign ignorance; to play innocent; to have a blank facial expression|to play the fool
腰痛	ヨウツウ	lower back pain; lumbago
腰掛け	コシカケ	seat; bench|temporary job while looking for a better job or until one marries
腰	コシ	lower back; waist; hips; lumbar region|body (of hair, noodles, paper, etc.); resilience; spring
惚れる	ホレル	to fall in love (with); to fall for; to become enamored (with); to be taken (with)|to be attracted (by); to be charmed (by); to be captivated (by); to be impressed (by); to admire|to forget oneself; to be entranced (by)
忽ち	タチマチ	in an instant; in a moment; immediately; right away; at once|suddenly; all of a sudden; all at once
骨董	コットウ	antique; curio
骨抜き	ホネヌキ	boning (fish or meat); deboning|watering down (a plan, bill, etc.); dilution; emasculation|taking the backbone out of; weakening
此処	ココ	here; this place|this point; here; now|these past ... (e.g. three years); these last ...|the next ... (e.g. few days); these next ...
今	イマ	now; the present time; just now; soon; immediately|another; more
骨子	コッシ	main point; gist; essentials; bones (e.g. of an idea); pith
黒木	クロキ	unbarked lumber
骨折	コッセツ	bone fracture
骨格	コッカク	skeleton; skeletal structure; build; frame; physique|framework
獄中	ゴクチュウ	during imprisonment; while in jail
腰部	ヨウブ	loins; hips; pelvic region; waist
黒人	コクジン	black person|woman in the nightlife business; demimondaine; geisha and prostitutes
込める	コメル	to load (a gun, etc.); to charge|to put into (e.g. emotion, effort)|to include (e.g. tax in a sales price)|to hang over; to shroud; to enshroud; to envelop; to screen
骨髄	コツズイ	bone marrow; medulla|heart's core; depths of one's heart|main point; vital part
暈ける	ボケル	to be faded; to be hazy; to be blurred; to be out of focus
今夏	コンカ	this summer; next summer; last summer
今一	イマイチ	not quite (right); not very good; somewhat (lacking)
今後	コンゴ	from now on; hereafter
今期	コンキ	the present term; the present session
今時	イマドキ	these days; nowadays; today; present age; modern times|at this time (of day); at this hour
今宵	コヨイ	this evening; tonight
困難	コンナン	difficulty; hardship; trouble; distress|infeasibility; inability (to carry out)
困る	コマル	to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed|to be bothered; to be inconvenienced; to be annoyed|to be badly off; to be hard up; to be in straitened circumstances
今頃	イマゴロ	about this time; about now
今度	コンド	this time; now|next time; another time; shortly; soon|recently; lately; the other day
今回	コンカイ	this time; now
今週	コンシュウ	this week
今更	イマサラ	now (when it is already much too late); at this stage|afresh; anew; again
今晩	コンバン	tonight; this evening
今晩は	コンバンハ	good evening
今夜	コンヤ	this evening; tonight
今日的	コンニチテキ	modern; up-to-date
恨み	ウラミ	resentment; grudge; malice; bitterness|matter for regret; regret
今秋	コンシュウ	this autumn; this fall; autumn of this year
今春	コンシュン	this spring; spring this year
婚約	コンヤク	engagement; betrothal
婚姻	コンイン	marriage; matrimony
恨む	ウラム	to bear a grudge against; to resent; to blame; to curse; to feel bitter towards
困窮	コンキュウ	poverty; need; destitution|having great difficulty with; struggling greatly with; being in distress
今月	コンゲツ	this month
困惑	コンワク	bewilderment; perplexity; embarrassment; discomfiture; bafflement
懇切	コンセツ	kind and careful (instruction, explanation, etc.); considerate; helpful; thoughtful; detailed; scrupulous
根気	コンキ	patience; perseverance; persistence; tenacity; energy
懇談	コンダン	friendly chat; relaxed conversation; informal meeting
根	ネ	root (of a plant)|root (of a tooth, hair, etc.); center (of a pimple, etc.)|root (of all evil, etc.); source; origin; cause; basis|one's true nature|(fishing) reef
懇意	コンイ	friendship; (on) familiar terms; intimacy|kindness; goodwill
根底	コンテイ	root; basis; foundation
懇話	コンワ	friendly talk; chat
梱包	コンポウ	packing; crating; packaging
懇親	コンシン	friendship; intimacy
根源	コンゲン	root; source; origin; cause
根回し	ネマワシ	laying the groundwork; behind-the-scenes maneuvering; consensus-building process|digging around the roots of a tree (before transplanting)
根強い	ネヅヨイ	firmly rooted; deep-seated
混血	コンケツ	mixed race; mixed parentage
懇願	コンガン	pleading; entreaty; supplication; petition
根性	コンジョウ	willpower; guts; determination; grit; spirit|character; nature; disposition; personality
雑物	マゼモノ	mixture; adulteration
根絶	コンゼツ	eradication; extermination; rooting out; stamping out; getting rid of
昏睡	コンスイ	coma|deep sleep; falling fast asleep
混ぜる	マゼル	to mix; to stir; to blend
根本的	コンポンテキ	fundamental; basic
根拠	コンキョ	basis; grounds; foundation; reason; authority|base (of operations)|base (of a group of stones)
根差す	ネザス	to come from; to have roots in
根幹	コンカン	foundation; root; basis; core; fundamentals|root and trunk
昆虫	コンチュウ	insect; bug
些細	ササイ	trivial; trifling; slight; insignificant
唆す	ソソノカス	to instigate; to tempt; to entice; to incite
痕跡	コンセキ	trace; vestige; mark; sign; evidence
混同	コンドウ	confusion; mixing; merger
混紡	コンボウ	mixed yarn; mixed spinning
左手	ヒダリテ	left hand|left-hand side; left-hand direction; (on) the left
混迷	コンメイ	turmoil; chaos; confusion
混乱	コンラン	disorder; chaos; confusion; mayhem
混入	コンニュウ	mixing; blending; adding; adulteration; contamination
左遷	サセン	demotion; relegation; reduction in rank; degradation; downward move
左前	サゼン	wearing a kimono with the right side over the left (normally used only for the dead)|downturn; recession; economic adversity; being in a bad financial situation|front left; front and left; before and left
混合	コンゴウ	mixing; mixture; meld|miscegenation
左足	ヒダリアシ	left foot|left leg
混成	コンセイ	mixed (e.g. team, chorus)
混戦	コンセン	confused fight; free-for-all; melee|close contest; close match
左派	サハ	left wing
左折	サセツ	turning to the left; left turn
差	サ	difference; variation|difference
差し引き	サシヒキ	deduction; subtraction; balance|ebb and flow; rise and fall
紺	コン	navy blue; deep blue
魂胆	コンタン	ulterior motive; plot; scheme|complicated circumstances; intricacies
左上	ヒダリウエ	upper left
左翼	サヨク	left wing|left wing (of a bird or aircraft)|left wing (of an army, building, etc.); left flank|left field; left fielder|left wing (in soccer, rugby, etc.)
左	ヒダリ	left; left-hand side|left hand|the left (wing); leftist|fondness for alcohol; drinker
左記	サキ	undermentioned (statement); the following; at left
混雑	コンザツ	congestion; crush; crowding; jam|confusion; disorder
左右	サユウ	left and right; right and left|(asserting) control; influence; domination|one's attendants; people accompanying one|(serving at someone's) side|equivocation
差す	サス	to shine|to be visible|to be tinged with|to rise (of water levels); to flow in|to be felt (i.e. as an emotion); to come over one
砂浜	スナハマ	sandy beach
差別	サベツ	distinction; differentiation; discrimination|discrimination (against people)
差し上げる	サシアゲル	to lift up; to hold up; to raise|to give; to present; to offer|to do (for someone)
差し控える	サシヒカエル	to be moderate in; to be temperate in; to not do too much of|to refrain (from doing); to withhold (an announcement, comment, etc.)|to be beside; to be close by
差し戻す	サシモドス	to send back; to refer back
砂糖	サトウ	sugar
砂丘	サキュウ	sand dune; sand hill
差し止め	サシトメ	prohibition; ban; suspension; injunction
査定	サテイ	assessment (of value, damages, etc.); revision (of a budget)
査証	サショウ	visa|endorsing (e.g. a passport); stamping
差異	サイ	difference; disparity; gap
差益	サエキ	marginal profits
差額	サガク	balance; difference (in price, cost); margin
査察	ササツ	inspection (for compliance); investigation (tax, etc.)
砂防	サボウ	erosion control
差し当たり	サシアタリ	for the time being; at present|hindrance
砂時計	スナドケイ	hourglass; sandglass
査問	サモン	inquiry; enquiry; hearing
差し伸べる	サシノベル	to hold out; to extend (e.g. one's hands); to stretch; to reach out for|to thrust (javelin)|to offer (e.g. aid, help, etc.)
差し出す	サシダス	to hold out; to extend (e.g. a hand)|to present; to submit; to tender|to sacrifice; to give (up)|to send; to forward
砂利	ジャリ	gravel; ballast; pebbles|child; rugrat; ankle-biter
差し掛かる	サシカカル	to come near (to); to approach|to be on the verge of; to be about to reach (a stage, period, etc.); to approach (e.g. a climax)|to overhang; to hang over
差し込む	サシコム	to insert; to put in; to thrust in; to plug in|to come in (of light); to shine in; to stream in; to pour in|to have a griping pain (in the stomach, chest, etc.)
詐欺	サギ	fraud; swindle; graft; cheating; trick; scam|saying you're going to do something but in the end not doing it; making promises without keeping them; flaking out
差し支える	サシツカエル	to interfere (with); to hinder; to be hindered (from doing); to become impeded; to have difficulty; to suffer inconvenience
砂	スナ	sand; grit; fine gravel
詐取	サシュ	defrauding; swindle
鎖	クサリ	chain; chains
座り込み	スワリコミ	sit-in (protest); sit-down (strike)
座席	ザセキ	seat (esp. in public places or places with assigned seating); seating
催促	サイソク	pressing; urging; demanding; demand
座る	スワル	to sit (down); to have a seat; to be seated; to kneel (on the floor)|to assume (a position); to take on (a duty); to occupy (a post)
債	サイ	debt; loan
挫折	ザセツ	setback; failure (e.g. plans, business); frustration; discouragement
詐称	サショウ	misrepresentation; false statement
座敷	ザシキ	tatami room; tatami mat room; formal Japanese room|dinner party in a tatami room (esp. when a geisha or maiko attends)
座布団	ザブトン	zabuton; flat floor cushion used when sitting or kneeling; usu. rectangular
催眠	サイミン	hypnosis
詐欺師	サギシ	swindler; fraudster; trickster; con man
債権	サイケン	credit; claim
債務	サイム	debt; liabilities; obligation to a person or party (usu. legal or contractual)
座	ザ	seat; place|position; status|gathering; party; company; atmosphere (of a gathering)|stand; pedestal; platform|trade guild
座談会	ザダンカイ	symposium; round-table discussion
催し	モヨオシ	event; festivities; function; social gathering; auspices; opening; holding (a meeting)
催す	モヨオス	to hold (an event); to give (a dinner, party, etc.)|to feel (sensation, emotion, call of nature, etc.); to show signs of
再開	サイカイ	reopening; resumption; restarting
座禅	ザゼン	zazen (seated Zen meditation, usu. in a cross-legged position)
座長	ザチョウ	chairman|leader of a troupe; proprietor of a theatrical company
再演	サイエン	another showing (of a play)|playing the same role again (i.e. of an actor)|recapitulation
再	サイ	re-; again
債券	サイケン	bond; debenture
再び	フタタビ	again; once more; a second time
再会	サイカイ	meeting again; reunion
鎖国	サコク	national isolation; closing the country (to foreigners)|sakoku; policy of national isolation enacted by the Tokugawa shogunate
再起	サイキ	comeback; recovery; restoration; rally
再任	サイニン	reappointment
再生	サイセイ	restoration to life; coming to life again; resuscitation; regeneration|reformation; rehabilitation|recycling; reclamation; recovery|playback; regeneration (of video or sound); views (of an online video)|regeneration (of lost or damaged tissue); regrowth
再現	サイゲン	reappearance; reemergence; return; revival|reproduction; reenactment; recreation
再建	サイケン	rebuilding; reconstruction; rehabilitation|protoform reconstruction
再検討	サイケントウ	re-examination; review; reconsideration; reappraisal
再婚	サイコン	second marriage; remarriage
再編	サイヘン	reorganization; reorganisation; reshuffle
再燃	サイネン	recurrence; revival; resuscitation
再来	サイライ	return; coming back|second coming (e.g. of Christ); second advent; reincarnation
最悪	サイアク	worst|horrible; horrid; awful; terrible|in the worst case; if worst comes to worst
再来年	サライネン	year after next
再来月	サライゲツ	month after next
最も	モットモ	most; extremely
再起動	サイキドウ	restart; reboot
最愛	サイアイ	beloved; dearest
最寄り	モヨリ	nearest; closest
再考	サイコウ	reconsideration
最強	サイキョウ	strongest
再審	サイシン	retrial; reopening of a case|review; reexamination
再度	サイド	a second time; again; once more; twice
最期	サイゴ	one's last moment; one's death; one's end
再三	サイサン	again and again; repeatedly
再発	サイハツ	return; relapse; recurrence
再選	サイセン	re-election; reelection
再来週	サライシュウ	week after next
最古	サイコ	the oldest; the earliest
最近	サイキン	recently; lately; these days; nowadays; right now|nearest; closest
再販	サイハン	resale
最小	サイショウ	smallest (in size, degree, etc.); least; minimum; minimal
最高峰	サイコウホウ	highest peak; highest mountain|greatest authority; most prominent person; pinnacle (e.g. of art); peak
最先端	サイセンタン	cutting edge; leading edge; forefront; state of the art|tip; end
最良	サイリョウ	the best; ideal
最初	サイショ	beginning; outset; first; onset
最高	サイコウ	best; supreme; wonderful; finest|highest; maximum; most; uppermost; supreme
最終	サイシュウ	last; final; closing|last train (bus, flight, etc.; of the day)
最高裁	サイコウサイ	Supreme Court
最低	サイテイ	least; lowest; minimum|worst|awful; horrible; nasty; disgusting|at the very least
最新	サイシン	latest; newest; late-breaking (news)
最少	サイショウ	fewest; least; smallest (number); lowest; minimum|youngest
宰相	サイショウ	prime minister; premier; chancellor
最小限	サイショウゲン	minimum; lowest; minimal; least|at a minimum
最適	サイテキ	most suitable; optimum; optimal; best
最早	モハヤ	already; now|no longer; not any more
最盛期	サイセイキ	golden age; prime; heyday; height of prosperity|season (for fruit, vegetables, etc.); best time
最善	サイゼン	the very best; utmost
最後	サイゴ	end; conclusion|last; final; latest; most recent|no sooner than; once; right after (often having negative consequences)|one's final moments
最短	サイタン	shortest
最大	サイダイ	biggest; greatest; largest; maximum
彩る	イロドル	to colour; to color; to paint|to apply make-up|to decorate; to garnish; to adorn; to add flair
彩色	サイシキ	colouring; coloring; colouration; coloration; painting
妻	ツマ	wife|garnish (esp. one served with sashimi); trimmings|accompaniment; side (remark)
才能	サイノウ	talent; ability
採決	サイケツ	vote; ballot; division
最前線	サイゼンセン	front line; forefront
最低限	サイテイゲン	minimum|at the very least
採掘	サイクツ	mining; digging; working (a mine)
彩り	イロドリ	coloring; colouring; coloration; colouration|color scheme; colour scheme; coordination (of colour)|(touch of) colour; embellishment; brilliance; spice; glow; decoration; garnish
妻子	サイシ	wife and children|wife
採算	サイサン	profit
採取	サイシュ	picking; collecting; harvesting; gathering|extraction
栽培	サイバイ	cultivation
歳出	サイシュツ	annual expenditure (of a state, organization, etc.)
済ます	スマス	to finish; to get it over with; to conclude|to settle; to pay back|to get along (without something); to make do with (without)
歳入	サイニュウ	annual revenue (government); annual income (government); budget receipts
歳月	サイゲツ	time; years
採集	サイシュウ	collecting; gathering
災害	サイガイ	calamity; disaster; misfortune
採用	サイヨウ	use; adoption; acceptance|appointment; employment; engagement; recruitment
災い	ワザワイ	disaster; calamity; misfortune; trouble; woes
歳暮	セイボ	year-end gift|end of the year; year end
年	トシ	... years old; age (of) ...
採点	サイテン	marking; grading; scoring
済む	スム	to finish; to end; to be completed; to be resolved|to have a result less severe than expected|to feel at ease|to feel unease or guilt for troubling someone; to be sorry
祭る	マツル	to deify; to enshrine|to pray; to worship
災難	サイナン	calamity; misfortune; disaster
砕ける	クダケル	to break (into pieces); to be broken; to be smashed|to collapse; to crumble; to decline; to cool (e.g. enthusiasm); to dampen (e.g. one's will to fight)|to become less formal; to throw off reserve; to become affable|to become easy to understand (e.g. a story)|to be worried
細々	ホソボソ	minutely; in detail; with particular attention|poor (living)|barely continuing; just scraping along|very narrow
採炭	サイタン	coal mining; coal extraction
済ませる	スマセル	to finish; to make an end of; to get through with; to let end|to make do (with); to manage (with)|to resolve; to settle; to bring to a conclusion
砕く	クダク	to break (into pieces); to smash; to crush; to shatter; to grind (into powder); to pound|to shatter (someone's hopes, confidence, etc.); to crush; to frustrate|to simplify; to make easy to understand
祭壇	サイダン	altar
採択	サイタク	adoption; selection; choice
斎場	サイジョウ	funeral hall|ceremony site
砕石	サイセキ	crushed stone; macadam|crushing (rock)
歳末	サイマツ	year end
祭日	サイジツ	national holiday; festival day
祭礼	サイレイ	(religious) festival
祭典	サイテン	festival
細る	ホソル	to get thin; to taper off
細い	ホソイ	thin; slender; fine|unlucky
細分	サイブン	subdivision (into small parts)
細心	サイシン	meticulous; careful; discreet; scrupulous; prudent
裁決	サイケツ	decision; ruling; judgement; judgment
細か	コマカ	small; fine; detailed; stingy
細やか	コマヤカ	small; little; tiny; insignificant; humble; modest; meagre; meager
菜	ナ	greens; vegetables|rape (Brassica napus); rapeseed
裁量	サイリョウ	discretion; judgement; judgment
裁く	サバク	to judge; to try; to sit in judgement (on); to decide (on)
細かい	コマカイ	small|fine; minute|minor; trivial|sensitive; attentive|careful; frugal; stingy
細菌	サイキン	bacterium; bacteria; germ
細工	サイク	work; workmanship; craftsmanship; handiwork|artifice; trick; device; tampering; doctoring
裁判	サイバン	trial; judgement; judgment
際	サイ	occasion; time; circumstances; (in) case (of); when
細部	サイブ	details; particulars
細長い	ホソナガイ	long and narrow
菜食	サイショク	vegetable diet
菜種	ナタネ	rapeseed; coleseed
際限	サイゲン	limits; end; bounds
裁縫	サイホウ	sewing; needlework
裁判所	サイバンショ	court; courthouse
裁判官	サイバンカン	judge
細目	サイモク	particulars; details; specified items
裁つ	タツ	to cut (cloth)
細胞	サイボウ	cell|cell (in an organization, esp. a communist party)
菜園	サイエン	vegetable garden
在庫	ザイコ	stock; inventory|having in stock; being in stock
際立つ	キワダツ	to be prominent; to be conspicuous; to stand out; to be outstanding; to be remarkable; to be striking; to be notable
在来	ザイライ	pre-existing; already there; conventional
在職	ザイショク	being in office; holding a position; employment; service
有る	アル	to be; to exist; to live|to have|to be located|to be equipped with|to happen; to come about
在籍	ザイセキ	being enrolled (at a school); being registered; being a member (of a team, organization, etc.)
在日	ザイニチ	resident in Japan (of a foreigner); situated in Japan (e.g. of an embassy)|Zainichi; Zainichi Korean; North or South Korean national with permanent residency in Japan (who came to the country before 1945, or a descendant of such a person)
在留	ザイリュウ	residing (esp. abroad); staying; living
在学	ザイガク	attending (school, college, etc.); being enrolled; being a student
在住	ザイジュウ	residing; living; dwelling
財源	ザイゲン	source of funds; resources; finances
財政	ザイセイ	public finance|financial affairs; financial situation
在宅	ザイタク	being at home; being in
財	ザイ	fortune; riches|goods|incorporated foundation
罪	ツミ	crime; sin; wrongdoing; indiscretion|penalty; sentence; punishment|fault; responsibility; culpability|thoughtlessness; lack of consideration
在外	ザイガイ	overseas; abroad
財産	ザイサン	property; fortune; assets
財界	ザイカイ	financial world; business circles
財布	サイフ	wallet; purse; coin purse; billfold; pocketbook
材料	ザイリョウ	materials; ingredients|material (for a novel, experiment, etc.); subject matter|grounds (for a decision, judgement, etc.); basis; evidence; data|(market) factor
材質	ザイシツ	material|material properties; quality of material|quality of wood; quality of lumber
在任	ザイニン	being in office
財務	ザイム	financial affairs
財政難	ザイセイナン	economic difficulties; financial difficulties; fiscal difficulties
冴える	サエル	to be clear (of a sight, sound, colour, etc.); to be bright; to be vivid; to be crisp|to be clear-headed; to be alert; to be on the ball; to be wide awake|to look upbeat; to be perky; to be cheerful|to master (a skill); to excel at; to cleanly execute|to be satisfying
坂	サカ	slope; incline; hill|milestone; (age) mark
罪人	ザイニン	criminal; lawbreaker; wrongdoer; offender
財団法人	ザイダンホウジン	incorporated foundation; juridical foundation
財閥	ザイバツ	zaibatsu; financial conglomerate; industrial group|rich person
材木	ザイモク	wood (for building); lumber; timber
財団	ザイダン	foundation (institution); syndicate; group
咲く	サク	to bloom; to flower; to blossom; to open|to rise up (of breaking waves)
阪神	ハンシン	Osaka-Kobe|Hanshin (company name: railway, dept. store, baseball team, etc.)
崎	サキ	small peninsula; cape; promontory; headland
坂道	サカミチ	hill road
咲き乱れる	サキミダレル	to bloom in profusion
