normalized_form	reading	senses
じっくり	ジックリ	(slowly and) carefully; without haste; thoroughly; deliberately; closely; meticulously
しゃぶしゃぶ	シャブシャブ	shabu-shabu; hot pot dish where thinly sliced meat is boiled quickly and then dipped in sauce
ジャガ芋	ジャガイモ	potato (Solanum tuberosum)
屡々	シバシバ	often; again and again; frequently; repeatedly
しんどい	シンドイ	tired; frazzled|tiresome; tiring; draining; bothersome; worrisome
じゃぶじゃぶ	ジャブジャブ	splashing (water); splashing about; with a splash|vigorously; generously (e.g. pouring sauce); plenty|greatly (using or making money)
で	ジャア	then; well; so; well then
じゃんけん	ジャンケン	rock-paper-scissors (game); janken
しとしと	シトシト	gently (raining); drizzling|moist; damp
じっと	ジット	motionlessly (e.g. stand, wait); (be) still|fixedly (e.g. gaze, stare); intently (e.g. listen, think)|patiently (endure); stoically|firmly (e.g. hold); restrained
すっきり	スッキリ	refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder|shapely; neatly; refinedly|cleanly; without trouble|clearly; plainly; distinctly|completely; thoroughly
じめじめ	ジメジメ	damp; humid; wet; clammy; muggy; soggy|gloomy; melancholy; depressing
染み染み	シミジミ	keenly; deeply; fully; heartily; seriously; earnestly|calmly; quietly; softly|fixedly (gazing, staring); intently
すやすや	スヤスヤ	peacefully (sleeping); quietly; soundly
しょんぼり	ションボリ	downheartedly; dejectedly; dispiritedly; despondently
すっかり	スッカリ	all; completely; totally; entirely; thoroughly
すらすら	スラスラ	smoothly; easily; readily
しょっちゅう	ショッチュウ	always; all the time; constantly; frequently; often
ずっと	ズット	continuously; the whole time; all the way; throughout|much (more); (by) far; far and away; a lot; a great deal|far (away); long (ago, before, after)|straight; directly
しゃがむ	シャガム	to squat; to crouch
せがむ	セガム	to badger; to pester; to beg
擦れ擦れ	スレスレ	grazing; skimming; almost touching; passing within inches; being within a whisker; shaving close|barely; just; narrowly; by a slim margin
ずばり	ズバリ	decisively; decidedly; boldly; once and for all; unreservedly; frankly|precisely; exactly
ずるずる	ズルズル	(dragging a large or heavy item) slowly|(falling) little by little; (slipping) gradually; (drawing back) slowly; with a slither|on and on; while putting off; slovenly; interminably|with a slurp; with a sniffle|loose; lax; inconclusive; unresolved
ずきずき	ズキズキ	throbbingly (of pain)
せかせか	セカセカ	restlessly; hurriedly; agitatedly; fidgeting
そう	ソウ	appearing that; seeming that; looking like; having the appearance of|in that way; thus; such|so; the same; that's the case|so?
そそっかしい	ソソッカシイ	careless; thoughtless; hasty; rash
せっかち	セッカチ	hasty; impatient; restless; rash
其奴	ソイツ	he; she; that person; that guy; that fellow|that; that one; that thing
ずらす	ズラス	to shift; to move; to slide|to move (an appointment, meeting, etc.); to bring forward; to put back; to put off; to delay; to postpone; to stagger (e.g. working hours)
せめて	セメテ	at least; at most; (even) just
其処	ソコ	there (place relatively near listener)|there (place just mentioned); that place|then (of some incident just spoken of); that (of point just raised)|you
而して	シコウシテ	and; and then; thus; and now; and finally
微風	ソヨカゼ	gentle breeze; soft wind; breath of air; zephyr
そっくり	ソックリ	all; altogether; entirely; completely|exactly alike (e.g. in appearance); spitting image of; identical; strikingly similar
ずれる	ズレル	to slide; to slip off; to get dislocated; to be out of alignment; to get dislodged; to deviate; to shift (position); to be out of sync; to be slightly off; to be off-point
そっと	ソット	softly; gently; quietly; lightly|stealthily; secretly; in secret|to leave alone; to leave as it is
其れ	ソレ	that; it|then; that point (in time); that time|there|you
抑	ソモソモ	in the first place; to begin with; from the start; originally; ab initio|after all; anyway; actually; well, ...; ... on earth (e.g. "what on earth?"); ... in the world (e.g. "why in the world?")|beginning; start
其の	ソノ	that; the|part (as in "part two")|um ...; er ...; uh ...
丈	タケ	only; just; merely; simply; no more than; nothing but; alone|as much as; to the extent of; enough to|height; stature|length (esp. of clothing)|all (one has); everything
そんな	ソンナ	such; that sort of; that kind of; like that|no way!; never!
唯	タッタ	only; merely; but; no more than
そわそわ	ソワソワ	restlessly; nervously; uneasily; in a fidget
たっぷり	タップリ	plentifully; amply; abundantly; copiously; generously; fully; a lot|loosely; with room to spare; with enough space; (large) enough|a good (e.g. two weeks, ten kilometres); a full; at least; no less than
ぞくぞく	ゾクゾク	shivering; feeling chilly|shuddering (with fear); feeling creepy|thrilled; excited
ぞろぞろ	ゾロゾロ	in a crowd; in droves; in a stream; in succession|crawling (of insects); swarming|dragging (e.g. along the ground); trailing; stretching out
だらけ	ダラケ	full of (e.g. mistakes); riddled with|covered all over with (blood, mud, etc.)
ちぐはぐ	チグハグ	mismatched; odd; irregular|inconsistent; incoherent; confused
些とも	チットモ	(not) at all; (not) a bit; (not) in the least; (not) in the slightest
ぞんざい	ゾンザイ	rough; careless; slovenly; slipshod; rude; impolite
だぶだぶ	ダブダブ	loose (of clothing); baggy|flabby; saggy|sloshing; slopping; overflowing|plenty (of pouring a liquid); drowning (e.g. in a sauce)
だらし無い	ダラシナイ	slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack|weak; feeble; weak-willed; cowardly; gutless
ちらちら	チラチラ	falling lightly (e.g. snow, petals, confetti); fluttering|flickering; twinkling; glimmering; sparkling; dazzling|appearing and disappearing; catching glimpses|glancing (repeatedly)|(hear, see) from time to time; intermittently
だらだら	ダラダラ	in drops; dripping; trickling; streaming; flowing|gently (sloping)|sluggishly; endlessly; lengthily|leisurely; idly; slowly; slovenly; lazily
ちょっぴり	チョッピリ	a tiny bit; just a smidgin; a wee bit; very slightly
ちんぴら	チンピラ	(young) hoodlum; delinquent boy; delinquent girl; hooligan; punk|small-time yakuza|brat; little shit
怠い	ダルイ	sluggish; languid; listless; heavy (heart, legs, etc.); dull|bothersome; tiresome; pain-in-the-ass
たらたら	タラタラ	drop-by-drop; dripping; dribbling; in a trickle|incessantly (esp. speaking, e.g. complaints, compliments); in great profusion|sluggishly; dawdling
ちゃん	チャン	suffix for familiar person
ちゃんと	チャント	diligently; seriously; earnestly; reliably; steadily; legitimately|perfectly; properly; exactly; orderly; punctually; regularly; safely; in good condition|sufficiently; satisfactorily|quickly
ちんちん	チンチン	penis|with a tinkle; with a jingle|with a whistle (of a kettle)|sitting up and begging (of a dog)|juvenile black porgy
ちょくちょく	チョクチョク	often; frequently; now and then; occasionally
と	ト	if; when|and|with|used for quoting (thoughts, speech, etc.)|promoted pawn
つい	ツイ	just (now)|quite (near)|unintentionally; subconsciously; by mistake; against one's better judgement (judgment)
でかい	デカイ	huge; big; enormous
てくてく	テクテク	(walking a long distance) at a steady pace; intently; earnestly; single-mindedly; trudgingly; ploddingly
熟	ツクヅク	deeply; keenly; severely; completely; utterly|intently; carefully; closely; attentively
とろ	トロ	fatty cut (esp. of tuna belly)
つるつる	ツルツル	smooth; shiny; slick|slippery; greasy|slurping (noodles)
放し	ッパナシ	leaving (on, open, unfinished, etc.)|(doing) continuously; constantly; keep ...-ing
です	デショウ	it seems; I think; I guess; I wonder|right?; don't you agree?
つつ	ツツ	while|even though; despite
迚も	トテモ	very; awfully; exceedingly|(not) at all; by no means; simply (cannot)
てっきり	テッキリ	surely; certainly; without doubt
とんとん	トントン	with a tap; with a knock; with a knocking sound; with a rap-tap|smoothly (proceed); without a hitch; without delay|even; equal; break-even
躑躅	ツツジ	azalea; rhododendron
如何	イカガ	how; in what way; how about|questionable
どうせ	ドウセ	in any case; regardless; either way; after all; no matter what; anyway|since it makes no difference anyway (you might as well ...); since it won't change the outcome; if you are doing it regardless
